timestamp_iso_th,indoor_PM1.0,indoor_PM2.5,indoor_PM10,outdoor_PM1.0,outdoor_PM2.5,outdoor_PM10,bme_temp_C,bme_rh_%,bme_pressure_hPa,device_id
2025-09-22T14:04:04+07:00,4,7,7,nan,nan,nan,31.4,63.5,969.0,raspberrypi5
2025-09-22T14:04:06+07:00,4,7,7,7,9,12,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:04:07+07:00,5,7,7,7,9,13,31.4,63.5,969.0,raspberrypi5
2025-09-22T14:04:08+07:00,5,7,7,7,9,13,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:04:09+07:00,5,7,7,7,9,13,31.4,63.5,969.0,raspberrypi5
2025-09-22T14:04:10+07:00,4,6,6,7,9,12,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:04:11+07:00,4,6,6,7,9,12,31.4,63.5,969.0,raspberrypi5
2025-09-22T14:04:12+07:00,4,6,6,7,9,12,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:04:13+07:00,4,6,6,7,9,12,31.4,63.5,969.0,raspberrypi5
2025-09-22T14:04:14+07:00,4,6,6,7,9,12,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:04:15+07:00,4,6,6,7,9,12,31.4,63.5,969.0,raspberrypi5
2025-09-22T14:04:16+07:00,4,7,7,7,8,11,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:04:17+07:00,4,7,7,7,8,11,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:04:18+07:00,4,7,7,7,8,11,31.4,63.4,969.0,raspberrypi5
2025-09-22T14:04:19+07:00,5,7,7,7,8,11,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:04:21+07:00,5,7,7,6,7,10,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:04:22+07:00,5,7,7,6,7,10,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:04:23+07:00,5,8,8,6,8,9,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:04:24+07:00,4,7,7,6,8,9,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:04:25+07:00,4,7,7,6,8,9,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:04:26+07:00,4,8,8,6,8,9,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:04:27+07:00,4,8,8,6,8,9,31.4,63.4,969.0,raspberrypi5
2025-09-22T14:04:28+07:00,4,8,8,6,8,9,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:04:29+07:00,4,8,8,6,8,9,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:04:30+07:00,4,8,8,6,8,9,31.4,63.4,969.0,raspberrypi5
2025-09-22T14:04:31+07:00,5,9,9,7,9,10,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:32+07:00,6,9,9,7,9,12,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:33+07:00,6,9,9,7,9,12,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:34+07:00,6,9,9,7,9,12,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:35+07:00,6,10,10,8,10,13,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:36+07:00,6,10,10,8,10,13,31.4,63.3,969.0,raspberrypi5
2025-09-22T14:04:37+07:00,6,10,10,8,10,13,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:38+07:00,4,8,8,8,10,12,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:39+07:00,4,8,8,8,10,12,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:40+07:00,4,8,8,8,10,12,31.4,63.3,969.0,raspberrypi5
2025-09-22T14:04:41+07:00,4,8,8,7,10,11,31.4,63.2,969.0,raspberrypi5
2025-09-22T14:04:42+07:00,4,8,8,7,10,11,31.4,63.2,969.0,raspberrypi5
2025-09-22T14:04:44+07:00,4,8,8,7,10,11,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:45+07:00,4,7,7,7,10,12,31.4,63.3,969.0,raspberrypi5
2025-09-22T14:04:46+07:00,4,7,7,7,10,12,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:47+07:00,4,7,7,7,10,12,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:48+07:00,4,7,7,7,10,12,31.4,63.3,969.0,raspberrypi5
2025-09-22T14:04:49+07:00,5,8,8,6,9,11,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:50+07:00,5,8,8,6,9,11,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:51+07:00,5,7,7,7,10,11,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:52+07:00,4,6,6,7,10,11,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:53+07:00,4,6,6,7,10,11,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:54+07:00,4,6,6,7,10,12,31.4,63.3,969.0,raspberrypi5
2025-09-22T14:04:55+07:00,4,6,6,7,10,12,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:56+07:00,4,6,6,7,10,12,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:04:57+07:00,3,5,5,7,10,11,31.4,63.3,969.0,raspberrypi5
2025-09-22T14:04:58+07:00,3,5,5,7,10,11,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:04:59+07:00,3,5,5,7,10,11,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:05:00+07:00,3,5,5,8,11,13,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:05:01+07:00,3,5,5,8,11,13,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:05:02+07:00,3,5,5,8,11,13,31.4,63.3,968.9,raspberrypi5
2025-09-22T14:05:03+07:00,3,5,5,8,11,11,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:04+07:00,3,5,5,8,11,11,31.4,63.4,968.8,raspberrypi5
2025-09-22T14:05:06+07:00,3,5,5,8,11,11,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:07+07:00,3,5,6,7,10,10,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:08+07:00,3,5,6,7,10,10,31.4,63.4,968.9,raspberrypi5
